Country,Region,Reserves,Reserves_fj5,Energy,Energy_fj5,Electricity,Electricity_fj5,Education,Education_fj5
Cook Islands,Australia and Oceania,,,,,17000.0,0,4.6,2
Costa Rica,Central America and the Caribbean,14177000000.0,0,30725000.0,0,3751000.0,0,6.7,3
Cote d'Ivoire,Africa,6257000000.0,0,8489000.0,0,2315000.0,0,3.4,1
Croatia,Europe,3336000000.0,0,79907000.0,1,5518000.0,0,5.5,2
Cuba,Central America and the Caribbean,11350000000.0,0,26070000.0,0,7264000.0,0,,
Curacao,Central America and the Caribbean,,,,,,,7.4,3
Cyprus,Europe,921269000.0,0,107188000.0,1,2288000.0,0,6.1,3
Czechia,Europe,141988000000.0,1,136306000.0,1,21802000.0,0,5.1,2
Denmark,Europe,103239000000.0,1,98513000.0,1,20794000.0,0,6.4,3
Djibouti,Africa,348725000.0,0,10428000.0,0,210000.0,0,3.6,1
Dominica,Central America and the Caribbean,155971000.0,0,36395000.0,0,41000.0,0,5.5,2
Dominican Republic,Central America and the Caribbean,13424000000.0,0,39329000.0,0,6581000.0,0,4.6,2
Ecuador,South America,4703000000.0,0,35700000.0,0,8438000.0,0,3.7,1
Egypt,Africa,34278000000.0,0,34975000.0,0,59680000.0,1,2.5,0
El Salvador,Central America and the Caribbean,3590000000.0,0,24421000.0,0,2803000.0,0,4.1,1
Equatorial Guinea,Africa,1538000000.0,0,54509000.0,1,349000.0,0,,
Eritrea,Africa,191694000.0,0,2977000.0,0,243000.0,0,,
Estonia,Europe,2054000000.0,0,73679000.0,1,3225000.0,0,6.6,3
Eswatini,Africa,479261000.0,0,18823000.0,0,285000.0,0,5.0,2
Ethiopia,Africa,3784000000.0,0,2366000.0,0,5690000.0,0,4.5,2
Falkland Islands (Islas Malvinas),South America,,,,,10000.0,0,,
Faroe Islands,Europe,,,,,180000.0,0,7.6,3
Fiji,Australia and Oceania,1597000000.0,0,25375000.0,0,427000.0,0,5.7,2
Finland,Europe,14322000000.0,0,183540000.0,2,26782000.0,0,5.9,3
France,Europe,78429000000.0,1,123526000.0,1,151463000.0,1,5.5,2
French Polynesia,Australia and Oceania,,,,,345000.0,0,,
Gabon,Africa,1447000000.0,0,22101000.0,0,785000.0,0,3.2,1
"Gambia, The",Africa,577028000.0,0,2731000.0,0,162000.0,0,2.8,0
Gaza Strip,Middle East,1328000000.0,0,14991000.0,0,352000.0,0,5.3,2
Georgia,Central Asia,3848000000.0,0,56076000.0,1,4526000.0,0,3.6,1
Germany,Europe,96792000000.0,1,120457000.0,1,275658000.0,2,4.7,2
Ghana,Africa,3624000000.0,0,10493000.0,0,5519000.0,0,3.9,1
Gibraltar,Europe,,,,,50000.0,0,,
Greece,Europe,5610000000.0,0,92693000.0,1,24169000.0,0,4.4,2
Greenland,North America,,,,,190000.0,0,10.2,4
Grenada,Central America and the Caribbean,423263000.0,0,41703000.0,0,60000.0,0,3.6,1
Guam,Australia and Oceania,,,150555000.0,2,525000.0,0,,
Guatemala,Central America and the Caribbean,23834000000.0,0,17096000.0,0,4995000.0,0,3.1,1
Guinea,Africa,1887000000.0,0,5235000.0,0,1060000.0,0,2.2,0
Guinea-Bissau,Africa,356400000.0,0,2351000.0,0,29000.0,0,2.7,0
Guyana,South America,1010000000.0,0,46045000.0,0,259000.0,0,4.5,2
Haiti,Central America and the Caribbean,2566000000.0,0,3486000.0,0,472000.0,0,1.4,0
Honduras,Central America and the Caribbean,7543000000.0,0,16642000.0,0,3334000.0,0,6.4,3
Hong Kong,East and Southeast Asia,425554000000.0,2,116811000.0,1,13300000.0,0,4.0,1
Hungary,Europe,37194000000.0,0,96152000.0,1,14829000.0,0,4.8,2
Iceland,Europe,6236000000.0,0,,,3005000.0,0,7.7,3
India,South Asia,569544000000.0,2,25179000.0,0,499136000.0,2,4.5,2
Indonesia,East and Southeast Asia,149118000000.0,1,37390000.0,0,70826000.0,1,3.5,1
Iran,Middle East,120600000000.0,1,160779000.0,2,86058000.0,1,3.6,1
Iraq,Middle East,87048000000.0,1,64311000.0,1,31339000.0,0,4.7,2
Ireland,Europe,11688000000.0,0,113837000.0,1,12321000.0,0,3.1,1
Israel,Middle East,214544000000.0,1,112437000.0,1,22612000.0,0,7.1,3
Italy,Europe,84875000000.0,1,96797000.0,1,128692000.0,1,4.3,2
Jamaica,Central America and the Caribbean,4869000000.0,0,42095000.0,0,1242000.0,0,6.0,3
Japan,East and Southeast Asia,1160000000000.0,3,129504000.0,1,361617000.0,2,3.4,1
Jordan,Middle East,15929000000.0,0,32909000.0,0,6891000.0,0,3.2,1
Kazakhstan,Central Asia,21980000000.0,0,172936000.0,2,27624000.0,0,4.5,2
Kenya,Africa,10065000000.0,0,5486000.0,0,3824000.0,0,4.8,2
Kiribati,Australia and Oceania,,,8578000.0,0,12000.0,0,12.4,4
"Korea, North",East and Southeast Asia,,,23830000.0,0,8357000.0,0,,
"Korea, South",East and Southeast Asia,409457000000.0,2,234668000.0,2,151139000.0,1,4.7,2
Kosovo,Europe,1310000000.0,0,52085000.0,0,1555000.0,0,,
Kuwait,Middle East,44104000000.0,0,389848000.0,3,20294000.0,0,6.6,3
Kyrgyzstan,Central Asia,3237000000.0,0,27580000.0,0,3944000.0,0,6.2,3
Laos,East and Southeast Asia,1770000000.0,0,34463000.0,0,12738000.0,0,2.3,0
Latvia,Europe,4591000000.0,0,65908000.0,1,3428000.0,0,6.0,3
Lebanon,Middle East,9240000000.0,0,43105000.0,0,5161000.0,0,1.7,0
Lesotho,Africa,854089000.0,0,8117000.0,0,104000.0,0,8.7,4
Liberia,Africa,599660000.0,0,1822000.0,0,199000.0,0,2.7,0
Libya,Africa,80592000000.0,1,100844000.0,1,10519000.0,0,,
Liechtenstein,Europe,,,,,,,2.6,0
Lithuania,Europe,6920000000.0,0,83700000.0,1,5426000.0,0,4.0,1
Luxembourg,Europe,2602000000.0,0,224651000.0,2,2212000.0,0,5.0,2
Macau,East and Southeast Asia,29392000000.0,0,64641000.0,1,427000.0,0,6.3,3
Madagascar,Africa,2785000000.0,0,1816000.0,0,759000.0,0,3.1,1
Malawi,Africa,594498000.0,0,1792000.0,0,731000.0,0,2.9,1
Malaysia,East and Southeast Asia,112968000000.0,1,113163000.0,1,37220000.0,0,3.9,1
Maldives,South Asia,673203000.0,0,50886000.0,0,432000.0,0,5.8,3
Mali,Africa,647800000.0,0,4307000.0,0,1222000.0,0,4.4,2
Malta,Europe,1402000000.0,0,234698000.0,2,829000.0,0,5.9,3
Marshall Islands,Australia and Oceania,,,,,,,13.6,4
